,Features,DTC,RFC,GBC
0,population,0.0,0.02132095050977886,0.0012598791736257908
1,Region_Far West,0.0,0.00039846041934905245,0.0
2,Region_Great Lakes,0.0,0.000795352634501973,0.03148658001036217
3,Region_Mid-Atlantic,0.0,0.00010161247694367157,0.0
4,Region_New England,0.0,8.961140394629457e-05,0.0
5,Region_Plains,0.0,0.0004121553352963858,0.0
6,Region_Rocky Mountain,0.0,0.0005371311372886664,0.0
7,Region_Southeast,0.0,0.0021110729192794445,0.0
8,Region_Southwest,0.0,0.002094973725501907,0.01176792997298779
9,gov_party_D,0.0,0.0011624798411757355,0.0
10,gov_party_R,0.0,0.0010017787894215956,0.0
11,legis_party_D,0.0,0.0004518449404186093,0.0
12,legis_party_R,0.0,0.00042029367032574616,0.0
13,legis_party_S,0.0,9.853861174515624e-05,0.0
14,fiscal,0.0,0.00562827096669054,0.047381350997241764
15,10,0.44374532711307374,0.016893434321843367,0.2663107801016381
16,101,0.0,0.00420599130434067,0.0
17,1011,0.0,0.003657682033326827,0.0
18,1012,0.0,0.008162510649418232,0.014583563401415733
19,1013,0.0,0.007128285024895967,0.009885196347135364
20,102,0.0,0.002784929357981048,0.0
21,1021,0.0,0.00450855663957688,0.013436304177549832
22,1022,0.0,0.002710929138319087,0.0
23,1023,0.0,0.004937568480208909,0.0
24,1024,0.0,0.004511973353543672,0.0
25,1025,0.0,0.008482410625787229,0.008682134975408061
26,1026,0.0,0.004729575896300187,0.0011154155210940486
27,1027,0.0,0.003392078071671061,0.0
28,1028,0.0,0.0034901673557318357,0.0
29,1029,0.0,0.00110335335789476,0.0
30,11,0.0,0.0019430615684574465,0.0
31,111,0.0,0.001252745047141339,0.0
32,1111,0.0,0.00014356195995829992,0.0
33,11111,0.0,0.0,0.0
34,111110,0.0,0.0,0.0
35,11112,0.0,0.0,0.0
36,111120,0.0,0.0,0.0
37,11113,0.0,0.0,0.0
38,111130,0.0,0.0,0.0
39,11114,0.0,0.0,0.0
40,111140,0.0,0.0,0.0
41,11115,0.0,0.0,0.0
42,111150,0.0,9.297367179905815e-05,0.0
43,11116,0.0,0.0,0.0
44,111160,0.0,0.0,0.0
45,11119,0.0,0.00026376773256990815,0.0
46,111191,0.0,0.0,0.0
47,111199,0.0,0.0,0.0
48,1112,0.0,0.00013983960692299578,0.0
49,11121,0.0,0.00011877686695766397,0.0
50,111211,0.0,0.0,0.0
51,111219,0.0,0.0,0.0
52,1113,0.0,0.0003805961168080051,0.0
53,11131,0.0,0.0,0.0
54,111310,0.0,0.0,0.0
55,11132,0.0,0.0,0.0
56,111320,0.0,0.0,0.0
57,11133,0.0,0.00020931821098439662,0.0
58,111331,0.0,1.1665149202877596e-05,0.0
59,111332,0.0,0.0,0.0
60,111333,0.0,0.0,0.0
61,111334,0.0,0.0,0.0
62,111335,0.0,0.0,0.0
63,111336,0.0,0.0,0.0
64,111339,0.0,7.836443030268095e-05,0.0
65,1114,0.0,0.00012315732212663172,0.0
66,11141,0.0,0.0,0.0
67,111411,0.0,0.0,0.0
68,111419,0.0,0.0,0.0
69,11142,0.0,0.00021472611412835202,0.0
70,111421,0.0,3.233688941415376e-05,0.0
71,111422,0.0,8.44666834929851e-05,0.0
72,1119,0.0,0.0003021334500525754,0.0
73,11191,0.0,0.0,0.0
74,111910,0.0,0.0,0.0
75,11192,0.0,0.0,0.0
76,111920,0.0,6.762980884362314e-05,0.0
77,11193,0.0,0.0,0.0
78,111930,0.0,0.0,0.0
79,11194,0.0,0.0,0.0
80,111940,0.0,0.0001740866590237301,0.0
81,11199,0.0,0.00020377165216144862,0.0
82,111991,0.0,0.0,0.0
83,111992,0.0,0.0,0.0
84,111998,0.0,0.00013449737003300987,0.0
85,112,0.0,0.002477500962687428,0.0012308442915060155
86,1121,0.0,0.0040050618410594615,0.03140132327245993
87,11211,0.0,0.0013611032728266408,0.0
88,112111,0.0,0.0009741246455650745,0.0
89,112112,0.0,0.0,0.0
90,11212,0.0,0.0006363563101442599,0.0
91,112120,0.0,0.0005012966387054956,0.000750452278652693
92,1122,0.0,7.311550207866409e-05,0.0
93,11221,0.0,0.0,0.0
94,112210,0.0,0.0002850692920880907,0.0
95,1123,0.0,0.0,0.0
96,11231,0.0,0.0,0.0
97,112310,0.0,0.0,0.0
98,11232,0.0,0.0,0.0
99,112320,0.0,0.0,0.0
100,11233,0.0,0.0,0.0
101,112330,0.0,0.0,0.0
102,11234,0.0,0.0,0.0
103,112340,0.0,0.0,0.0
104,11239,0.0,0.0,0.0
105,112390,0.0,0.0,0.0
106,1124,0.0,0.0,0.0
107,11241,0.0,0.0,0.0
108,112410,0.0,0.0,0.0
109,11242,0.0,0.0,0.0
110,112420,0.0,0.0,0.0
111,1125,0.0,0.0,0.0
112,11251,0.0,0.0,0.0
113,112511,0.0,0.0,0.0
114,112512,0.0,0.0,0.0
115,112519,0.0,0.0,0.0
116,1129,0.0,1.792043119141202e-06,0.0
117,11291,0.0,0.0,0.0
118,112910,0.0,0.0,0.0
119,11292,0.0,0.0,0.0
120,112920,0.0,0.0,0.0
121,11293,0.0,0.0,0.0
122,112930,0.0,0.0,0.0
123,11299,0.0,0.0,0.0
124,112990,0.0,0.0,0.0
125,113,0.0,0.0014939188010053572,0.0
126,1131,0.0,7.504769175197019e-05,0.0
127,11311,0.0,0.0,0.0
128,113110,0.0,0.0,0.0
129,1132,0.0,0.0,0.0
130,11321,0.0,0.0,0.0
131,113210,0.0,0.0,0.0
132,1133,0.0,0.0006806880667786458,0.0
133,11331,0.0,0.0004552857482317096,0.0
134,113310,0.0,0.0007382054631466111,0.0
135,114,0.0,0.00010721165491606984,0.0
136,1141,0.0,0.0,0.0
137,11411,0.0,0.0,0.0
138,114111,0.0,0.0,0.0
139,114112,0.0,0.0,0.0
140,114119,0.0,0.0,0.0
141,1142,0.0,0.0,0.0
142,11421,0.0,0.0,0.0
143,114210,0.0,0.0,0.0
144,115,0.0,0.0015294121251215854,0.0
145,1151,0.0,0.0007363141607935643,0.0
146,11511,0.0,0.0002537680301425306,0.0
147,115111,0.0,0.00019565082329866108,0.0
148,115112,0.0,0.0003097314391523167,0.00107871941630338
149,115113,0.0,0.00010654394637225488,0.0
150,115114,0.0,0.0,0.0
151,115115,0.0,0.0,0.0
152,115116,0.0,0.0,0.0
153,1152,0.0,0.00043287744539193,0.0
154,11521,0.0,6.227129206536903e-05,0.0
155,115210,0.0,0.0,0.0
156,1153,0.0,6.60572971651883e-05,0.0
157,11531,0.0,1.3841110753841782e-06,0.0
158,115310,0.0,9.196828157796476e-05,0.0
159,21,0.0,0.0011839049278037246,0.0
160,211,0.0,0.000671532845646189,0.0
161,2111,0.0,0.0001506780062594936,0.0
162,21111,0.0,0.0004641223187550953,0.0
163,211111,0.0,0.00023236296576970787,0.0
164,211112,0.0,0.0,0.0
165,212,0.0,0.0002652509768749838,0.0
166,2121,0.0,0.0,0.0
167,21211,0.0,0.0,0.0
168,212111,0.0,0.0,0.0
169,212112,0.0,0.0,0.0
170,212113,0.0,0.0,0.0
171,2122,0.0,0.0,0.0
172,21221,0.0,0.0,0.0
173,212210,0.0,0.0,0.0
174,21222,0.0,0.0,0.0
175,212221,0.0,0.0,0.0
176,212222,0.0,0.0,0.0
177,21223,0.0,0.0,0.0
178,212231,0.0,0.0,0.0
179,212234,0.0,0.0,0.0
180,21229,0.0,0.0,0.0
181,212291,0.0,0.0,0.0
182,212299,0.0,0.0,0.0
183,2123,0.0,0.00024070860818848735,0.0
184,21231,0.0,0.0,0.0
185,212311,0.0,0.0,0.0
186,212312,0.0,0.0,0.0
187,212313,0.0,0.0,0.0
188,212319,0.0,0.0,0.0
189,21232,0.0,0.0,0.0
190,212321,0.0,0.0,0.0
191,212322,0.0,0.0,0.0
192,212324,0.0,0.0,0.0
193,212325,0.0,0.0,0.0
194,21239,0.0,0.0,0.0
195,212391,0.0,0.0,0.0
196,212392,0.0,0.0,0.0
197,212393,0.0,0.0,0.0
198,212399,0.0,0.0,0.0
199,213,0.0,0.0004982472901711846,0.0
200,2131,0.0,0.00017617743802940432,0.0
201,21311,0.0,0.00024441651739818345,0.0
202,213111,0.0,0.0,0.0
203,213112,0.0,0.00016390760939295518,0.0
204,213113,0.0,0.0,0.0
205,213114,0.0,0.0,0.0
206,213115,0.0,0.0,0.0
207,22,0.0,0.0012962437960935208,0.0
208,221,0.0,0.0017900487662643315,0.0
209,2211,0.0,0.00018875112873266688,0.0
210,22111,0.0,0.0,0.0
211,221111,0.0,0.0,0.0
212,221112,0.0,0.0,0.0
213,221113,0.0,0.0,0.0
214,221119,0.0,0.0,0.0
215,22112,0.0,0.0,0.0
216,221121,0.0,0.0,0.0
217,221122,0.0,0.0,0.0
218,2212,0.0,0.0,0.0
219,22121,0.0,0.0,0.0
220,221210,0.0,0.0,0.0
221,2213,0.0,0.0002836530952418123,0.0
222,22131,0.0,0.00026176918530467527,0.0
223,221310,0.0,0.0003194657332085767,0.0
224,22132,0.0,9.22471212157333e-05,0.0
225,221320,0.0,0.0,0.0
226,22133,0.0,0.0,0.0
227,221330,0.0,0.0,0.0
228,23,0.0,0.006720329311655017,0.011248833767481283
229,236,0.0,0.0033082047195336487,0.0
230,2361,0.0,0.0025878338818074776,0.0
231,23611,0.0,0.0029265178422601223,0.0
232,236115,0.0,0.004432020065924177,0.012529455700629346
233,236116,0.0,0.0,0.0
234,236117,0.0,0.0,0.0
235,236118,0.0,0.001367932349249918,0.0
236,2362,0.0,0.001387036605363137,0.0
237,23621,0.0,9.394191354267917e-05,0.0
238,236210,0.0,0.0,0.0
239,23622,0.0,0.000536636533403544,0.0
240,236220,0.0,0.00034816613696896244,0.0
241,237,0.0,0.0034703843260569054,0.0001342903484462792
242,2371,0.0,0.005235802899962845,0.02936435493792862
243,23711,0.0,0.003235913677371263,0.0002801115701089976
244,237110,0.0,0.002373637871329126,0.001534742864681304
245,23712,0.0,7.990441942147863e-05,0.0
246,237120,0.0,0.0,0.0
247,23713,0.0,0.0022700446234736387,0.0
248,237130,0.0,0.0002674809716865018,0.0006667295479420513
249,2372,0.0,0.0008406172528244225,0.0
250,23721,0.0,0.000983012629013856,0.0
251,237210,0.0,0.001221403462770218,0.0
252,2373,0.0,0.00037414788598193215,0.0
253,23731,0.0,0.0009613727051373861,0.0
254,237310,0.0,0.001002487542140974,0.0
255,2379,0.0,0.000343133720997274,0.0
256,23799,0.0,9.514460654002938e-05,0.0
257,237990,0.0,0.00016143169085943893,0.0
258,238,0.0,0.00656121276004235,0.011430497030630402
259,2381,0.0,0.00556458624103169,0.004149940024256347
260,23811,0.0,0.005344651083922352,0.07355167229000663
261,238111,0.0,0.0010997231527095288,0.0
262,238112,0.0,0.0009307494635582866,0.0
263,23812,0.0,0.00013481164737783234,0.0
264,238121,0.0,0.0,0.0
265,238122,0.0,0.0,0.0
266,23813,0.4645925459589688,0.006396096365873665,0.09176684209806481
267,238131,0.0,0.0003464092544341851,0.0
268,238132,0.0,0.0,0.0
269,23814,0.0,0.001966519673467946,0.0
270,238141,0.0,0.00028869369565590107,0.0
271,238142,0.0,7.108198488423639e-05,0.0
272,23815,0.0,0.000990373643573196,0.0
273,238151,0.0,4.664742974658826e-06,0.0
274,238152,0.0,3.751537490170416e-05,0.0
275,23816,0.0,0.0007825568810745479,0.0
276,238161,0.0,0.00038386102081522947,0.0
277,238162,0.0,0.00026416425369718327,0.0
278,23817,0.0,0.0004244596532752129,0.0
279,238171,0.0,2.4547685711855953e-05,0.0
280,238172,0.0,0.0,0.0
281,23819,0.0,0.0002166785982715102,0.0
282,238191,0.0,0.0,0.0
283,238192,0.0,0.0,0.0
284,2382,0.0,0.005452944672406685,0.0
285,23821,0.0,0.0026194504557942593,0.006478770438498123
286,238211,0.0,0.0026751371851936874,0.0
287,238212,0.0,0.001700324279279687,0.0013088562634215263
288,23822,0.0,0.0021628174950296115,0.0
289,238221,0.0,0.0021575584040049076,0.002035701660152924
290,238222,0.0,0.0009371423320661459,0.0
291,23829,0.0,0.0002614737689279285,0.0
292,238291,0.0,0.0,0.0
293,238292,0.0,0.00010549155234931388,0.0
294,2383,0.0,0.010155089056129602,0.03816895292234158
295,23831,0.0,0.004796800542476729,0.022811007104744388
296,238311,0.0,0.0024121588523748094,0.0
297,238312,0.0,0.0003750037774231144,0.0
298,23832,0.0,0.002753560023523479,0.0
299,238321,0.0,0.0012729369886790923,0.0
300,238322,0.0,0.00010881082418297681,0.0
301,23833,0.0,0.00020025947580731626,0.0
302,238331,0.0,0.00021716994038323078,0.0
303,238332,0.0,0.00011454510416683616,0.0
304,23834,0.0,0.0004497467969135731,0.0
305,238341,0.0,0.0,0.0
306,238342,0.0,0.0,0.0
307,23835,0.0,0.0018057816020518494,0.0
308,238351,0.0,0.00040678321303535604,0.0
309,238352,0.0,1.384509192103018e-05,0.0
310,23839,0.0,5.043275940461698e-05,0.0
311,238391,0.0,3.7015380637150194e-05,0.0
312,238392,0.0,0.0,0.0
313,2389,0.0,0.0025222133110350594,0.0
314,23891,0.0,0.0017310701543865675,0.0
315,238911,0.0,0.00097431597923995,0.0
316,238912,0.0,0.0004926230808993618,0.0
317,23899,0.0,0.004006830290328093,0.03558562349553587
318,238991,0.0,0.0009973401004712663,0.0013758305363501912
319,238992,0.0,0.0073446264520868896,0.0010198421569682225
320,31-33,0.0,0.007626183132212857,0.013300693681634558
321,311,0.0,0.0006635366573699461,0.0
322,3111,0.0,0.0,0.0
323,31111,0.0,0.0,0.0
324,311111,0.0,0.0,0.0
325,311119,0.0,0.0,0.0
326,3112,0.0,0.0,0.0
327,31121,0.0,0.0,0.0
328,311211,0.0,0.0,0.0
329,311212,0.0,0.0,0.0
330,311213,0.0,0.0,0.0
331,31122,0.0,0.0,0.0
332,311221,0.0,0.0,0.0
333,311222,0.0,0.0,0.0
334,311223,0.0,0.0,0.0
335,311225,0.0,0.0,0.0
336,31123,0.0,0.0,0.0
337,311230,0.0,0.0,0.0
338,3113,0.0,0.0,0.0
339,31131,0.0,0.0,0.0
340,311311,0.0,0.0,0.0
341,311312,0.0,0.0,0.0
342,311313,0.0,0.0,0.0
343,31132,0.0,0.0,0.0
344,311320,0.0,0.0,0.0
345,31133,0.0,0.0,0.0
346,311330,0.0,0.0,0.0
347,31134,0.0,0.0,0.0
348,311340,0.0,0.0,0.0
349,3114,0.0,0.0,0.0
350,31141,0.0,0.0,0.0
351,311411,0.0,0.0,0.0
352,311412,0.0,0.0,0.0
353,31142,0.0,0.0,0.0
354,311421,0.0,0.0,0.0
355,311422,0.0,0.0,0.0
356,311423,0.0,0.0,0.0
357,3115,0.0,0.0,0.0
358,31151,0.0,0.0,0.0
359,311511,0.0,0.0,0.0
360,311512,0.0,0.0,0.0
361,311513,0.0,0.0,0.0
362,311514,0.0,0.0,0.0
363,31152,0.0,0.0,0.0
364,311520,0.0,0.0,0.0
365,3116,0.0,0.0,0.0
366,31161,0.0,8.391411303918967e-05,0.0
367,311611,0.0,0.0,0.0
368,311612,0.0,0.0,0.0
369,311613,0.0,0.0,0.0
370,311615,0.0,0.0,0.0
371,3117,0.0,1.698816257668338e-05,0.0
372,31171,0.0,1.3427910627907991e-06,0.0
373,311711,0.0,0.0,0.0
374,311712,0.0,0.0,0.0
375,3118,0.0,0.00039020352952774754,0.0
376,31181,0.0,7.028951157706042e-05,0.0
377,311811,0.0,0.00010235429034702462,0.0
378,311812,0.0,0.0,0.0
379,311813,0.0,0.0,0.0
380,31182,0.0,0.0,0.0
381,311821,0.0,0.0,0.0
382,311822,0.0,0.0,0.0
383,311823,0.0,0.0,0.0
384,31183,0.0,0.0,0.0
385,311830,0.0,0.0,0.0
386,3119,0.0,2.515265167627957e-05,0.0
387,31191,0.0,0.0,0.0
388,311911,0.0,0.0,0.0
389,311919,0.0,0.0,0.0
390,31192,0.0,0.0,0.0
391,311920,0.0,0.0,0.0
392,31193,0.0,0.0,0.0
393,311930,0.0,0.0,0.0
394,31194,0.0,0.0,0.0
395,311941,0.0,0.0,0.0
396,311942,0.0,0.0,0.0
397,31199,0.0,5.622230180867927e-06,0.0
398,311991,0.0,0.0,0.0
399,311999,0.0,0.0,0.0
400,312,0.0,0.00019237552605401347,0.0
401,3121,0.0,0.0,0.0
402,31211,0.0,1.0390761846697213e-05,0.0
403,312111,0.0,0.0,0.0
404,312112,0.0,0.0,0.0
405,312113,0.0,1.462405826900277e-06,0.0
406,31212,0.0,0.0,0.0
407,312120,0.0,0.0,0.0
408,31213,0.0,0.0,0.0
409,312130,0.0,0.0,0.0
410,31214,0.0,0.0,0.0
411,312140,0.0,0.0,0.0
412,3122,0.0,0.0,0.0
413,31221,0.0,0.0,0.0
414,312210,0.0,0.0,0.0
415,31222,0.0,0.0,0.0
416,312221,0.0,0.0,0.0
417,312229,0.0,0.0,0.0
418,313,0.0,0.00022713916408909817,0.0016150601743500166
419,3131,0.0,0.0,0.0
420,31311,0.0,0.0,0.0
421,313111,0.0,0.0,0.0
422,313112,0.0,0.0,0.0
423,313113,0.0,0.0,0.0
424,3132,0.0,0.0,0.0
425,31321,0.0,0.0,0.0
426,313210,0.0,0.0,0.0
427,31322,0.0,0.0,0.0
428,313221,0.0,0.0,0.0
429,313222,0.0,0.0,0.0
430,31323,0.0,0.0,0.0
431,313230,0.0,0.0,0.0
432,31324,0.0,0.0,0.0
433,313241,0.0,0.0,0.0
434,313249,0.0,0.0,0.0
435,3133,0.0,0.0,0.0
436,31331,0.0,0.0,0.0
437,313311,0.0,0.0,0.0
438,313312,0.0,0.0,0.0
439,31332,0.0,0.0,0.0
440,313320,0.0,0.0,0.0
441,314,0.0,2.94021370579445e-05,0.0
442,3141,0.0,0.00014361576372169598,0.0
443,31411,0.0,0.0,0.0
444,314110,0.0,0.0,0.0
445,31412,0.0,0.0,0.0
446,314121,0.0,0.0,0.0
447,314129,0.0,0.0,0.0
448,3149,0.0,2.6981409617093606e-05,0.0
449,31491,0.0,4.788058415321589e-05,0.0
450,314911,0.0,0.0,0.0
451,314912,0.0,0.0,0.0
452,31499,0.0,0.0,0.0
453,314991,0.0,0.0,0.0
454,314992,0.0,0.0,0.0
455,314999,0.0,0.0,0.0
456,315,0.0,0.00015037065477490737,0.0
457,3151,0.0,0.0,0.0
458,31511,0.0,0.0,0.0
459,315111,0.0,0.0,0.0
460,315119,0.0,0.0,0.0
461,31519,0.0,0.0,0.0
462,315191,0.0,0.0,0.0
463,315192,0.0,0.0,0.0
464,3152,0.0,8.554699883676002e-05,0.0
465,31521,0.0,0.0,0.0
466,315211,0.0,0.0,0.0
467,315212,0.0,0.0,0.0
468,31522,0.0,0.0,0.0
469,315221,0.0,0.0,0.0
470,315222,0.0,4.636162031268963e-06,0.0
471,315223,0.0,0.0,0.0
472,315224,0.0,0.0,0.0
473,315225,0.0,0.0,0.0
474,315228,0.0,0.0,0.0
475,31523,0.0,0.0,0.0
476,315231,0.0,0.0,0.0
477,315232,0.0,0.0,0.0
478,315233,0.0,0.0,0.0
479,315234,0.0,0.0,0.0
480,315239,0.0,0.0,0.0
481,31529,0.0,0.0,0.0
482,315291,0.0,0.0,0.0
483,315292,0.0,0.0,0.0
484,315299,0.0,0.0,0.0
485,3159,0.0,0.0,0.0
486,31599,0.0,0.0,0.0
487,315991,0.0,0.0,0.0
488,315992,0.0,0.0,0.0
489,315993,0.0,0.0,0.0
490,315999,0.0,0.0,0.0
491,316,0.0,0.0,0.0
492,3161,0.0,0.0,0.0
493,31611,0.0,0.0,0.0
494,316110,0.0,0.0,0.0
495,3162,0.0,0.0,0.0
496,31621,0.0,0.0,0.0
497,316211,0.0,0.0,0.0
498,316212,0.0,0.0,0.0
499,316213,0.0,0.0,0.0
500,316214,0.0,0.0,0.0
501,316219,0.0,0.0,0.0
502,3169,0.0,0.0,0.0
503,31699,0.0,0.0,0.0
504,316991,0.0,0.0,0.0
505,316992,0.0,0.0,0.0
506,316993,0.0,0.0,0.0
507,316999,0.0,0.0,0.0
508,321,0.0,0.0012550421073378615,0.0
509,3211,0.0,0.0001170068044781624,0.0
510,32111,0.0,7.391265020263477e-05,0.0
511,321113,0.0,6.966495164675005e-05,0.0
512,321114,0.0,0.0,0.0
513,3212,0.0,0.0,0.0
514,32121,0.0,0.0,0.0
515,321211,0.0,0.0,0.0
516,321212,0.0,0.0,0.0
517,321213,0.0,0.0,0.0
518,321214,0.0,0.0,0.0
519,321219,0.0,0.0,0.0
520,3219,0.0,0.000131898812656128,0.0
521,32191,0.0,7.149299345458147e-06,0.0
522,321911,0.0,2.0170095881821703e-05,0.0
523,321912,0.0,0.0,0.0
524,321918,0.0,0.0,0.0
525,32192,0.0,8.90092802523231e-05,0.0
526,321920,0.0,0.0,0.0
527,32199,0.0,0.0,0.0
528,321991,0.0,0.0,0.0
529,321992,0.0,0.0,0.0
530,321999,0.0,0.0,0.0
531,322,0.0,0.0002582191580169721,0.0
532,3221,0.0,0.0,0.0
533,32211,0.0,0.0,0.0
534,322110,0.0,0.0,0.0
535,32212,0.0,0.0,0.0
536,322121,0.0,0.0,0.0
537,322122,0.0,0.0,0.0
538,32213,0.0,0.0,0.0
539,322130,0.0,0.0,0.0
540,3222,0.0,7.023990821264488e-05,0.0
541,32221,0.0,6.791514770123335e-05,0.0
542,322211,0.0,9.87114735794886e-05,0.0
543,322212,0.0,0.0,0.0
544,322213,0.0,0.0,0.0
545,322214,0.0,0.0,0.0
546,322215,0.0,0.0,0.0
547,32222,0.0,4.935933432673919e-05,0.0
548,322221,0.0,0.0,0.0
549,322222,0.0,3.706727247200033e-05,0.0
550,322223,0.0,0.0,0.0
551,322224,0.0,0.0,0.0
552,322225,0.0,0.0,0.0
553,322226,0.0,0.0,0.0
554,32223,0.0,0.0,0.0
555,322231,0.0,0.0,0.0
556,322232,0.0,0.0,0.0
557,322233,0.0,0.0,0.0
558,32229,0.0,0.0,0.0
559,322291,0.0,0.0,0.0
560,322299,0.0,0.0,0.0
561,323,0.0,0.0005023680699447749,0.0
562,3231,0.0,0.0006448734859019504,0.0
563,32311,0.0,0.0005373615902413881,0.0
564,323110,0.0,0.0001225080455386874,0.0
565,323111,0.0,0.0,0.0
566,323112,0.0,0.0,0.0
567,323113,0.0,7.192889993873746e-05,0.0
568,323114,0.0,0.00032883145178116675,0.0
569,323115,0.0,4.455957630152282e-05,0.0
570,323116,0.0,0.0,0.0
571,323117,0.0,0.0,0.0
572,323118,0.0,0.0,0.0
573,323119,0.0,0.00014277487533461957,0.0
574,32312,0.0,4.277770293190277e-05,0.0
575,323121,0.0,0.0,0.0
576,323122,0.0,0.0,0.0
577,324,0.0,0.0,0.0
578,3241,0.0,0.0,0.0
579,32411,0.0,0.0,0.0
580,324110,0.0,0.0,0.0
581,32412,0.0,0.00023048410247568935,0.0
582,324121,0.0,0.0,0.0
583,324122,0.0,0.0,0.0
584,32419,0.0,7.731616109761999e-05,0.0
585,324191,0.0,0.0,0.0
586,324199,0.0,0.0,0.0
587,325,0.0,0.0006485545172904705,0.0
588,3251,0.0,0.00017180450611475458,0.0
589,32511,0.0,0.0,0.0
590,325110,0.0,0.0,0.0
591,32512,0.0,0.0,0.0
592,325120,0.0,0.0,0.0
593,32513,0.0,0.0,0.0
594,325131,0.0,0.0,0.0
595,325132,0.0,0.0,0.0
596,32518,0.0,3.5784321363616024e-05,0.0
597,325181,0.0,0.0,0.0
598,325182,0.0,0.0,0.0
599,325188,0.0,0.0,0.0
600,32519,0.0,0.0,0.0
601,325191,0.0,0.0,0.0
602,325192,0.0,0.0,0.0
603,325193,0.0,0.0,0.0
604,325199,0.0,0.0,0.0
605,3252,0.0,0.0,0.0
606,32521,0.0,0.0,0.0
607,325211,0.0,0.0,0.0
608,325212,0.0,0.0,0.0
609,32522,0.0,0.0,0.0
610,325221,0.0,0.0,0.0
611,325222,0.0,0.0,0.0
612,3253,0.0,0.0,0.0
613,32531,0.0,0.0,0.0
614,325311,0.0,0.0,0.0
615,325312,0.0,0.0,0.0
616,325314,0.0,0.0,0.0
617,32532,0.0,0.0,0.0
618,325320,0.0,0.0,0.0
619,3254,0.0,0.0,0.0
620,32541,0.0,1.8570451559287087e-05,0.0
621,325411,0.0,0.0,0.0
622,325412,0.0,0.0,0.0
623,325413,0.0,0.0,0.0
624,325414,0.0,0.0,0.0
625,3255,0.0,0.0003537595996040216,0.0
626,32551,0.0,0.0,0.0
627,325510,0.0,6.867114394735602e-05,0.0
628,32552,0.0,3.745543334974224e-05,0.0
629,325520,0.0,8.212901578309207e-06,0.0
630,3256,0.0,0.0,0.0
631,32561,0.0,0.0,0.0
632,325611,0.0,0.0,0.0
633,325612,0.0,2.9366173179658795e-05,0.0
634,325613,0.0,0.0,0.0
635,32562,0.0,1.6707688135894193e-06,0.0
636,325620,0.0,0.0,0.0
637,3259,0.0,0.00014651457261137784,0.0
638,32591,0.0,0.0,0.0
639,325910,0.0,0.0,0.0
640,32592,0.0,0.0,0.0
641,325920,0.0,0.0,0.0
642,32599,0.0,3.8078627294484874e-05,0.0
643,325991,0.0,0.0,0.0
644,325992,0.0,3.38630554356034e-05,0.0
645,325998,0.0,0.0,0.0
646,326,0.0,0.0006936675576656896,0.0
647,3261,0.0,0.00012289240419980418,0.0
648,32611,0.0,0.0,0.0
649,326111,0.0,0.0,0.0
650,326112,0.0,0.0,0.0
651,326113,0.0,0.0,0.0
652,32612,0.0,0.0,0.0
653,326121,0.0,0.0,0.0
654,326122,0.0,0.0,0.0
655,32613,0.0,0.0,0.0
656,326130,0.0,0.0,0.0
657,32614,0.0,0.0,0.0
658,326140,0.0,0.0,0.0
659,32615,0.0,3.385980449869012e-05,0.001803349280600381
660,326150,0.0,0.00010737688657672917,0.0011582129709794698
661,32616,0.0,0.0,0.0
662,326160,0.0,0.0,0.0
663,32619,0.0,0.00032122867266738887,0.0
664,326191,0.0,0.0,0.0
